Designator,Mid X,Mid Y,Rotation,Layer
C1,184.82,-51.75,180.0,bottom
C10,203.8,-56.0,90.0,bottom
C11,163.6,-47.8,180.0,bottom
C15,224.0,-49.4,270.0,bottom
C2,173.82,-52.75,90.0,top
C3,187.6375,-49.5,180.0,bottom
C4,192.4,-42.6,0.0,bottom
C5,179.07,-52.525,270.0,bottom
C6,219.2,-46.4,180.0,bottom
C7,202.3625,-45.25,0.0,bottom
C8,201.0,-43.0,0.0,bottom
C9,222.0,-48.6,270.0,bottom
D20,189.07,-55.0,0.0,top
D32,168.8125,-42.8,180.0,top
D33,183.0,-49.0,180.0,top
D5,160.0,-50.8,270.0,bottom
D6,181.2,-56.2,90.0,bottom
F1,184.32,-54.25,0.0,top
F2,184.32,-54.25,0.0,bottom
J1,176.82,-59.5,180.0,top
J11,197.39,-59.0,0.0,top
J2,169.2,-48.25,90.0,top
J3,177.0,-46.0,180.0,top
J4,169.2,-57.5,90.0,top
J5,186.0,-46.0,180.0,top
R1,220.4875,-56.6,0.0,bottom
R2,199.8,-58.9125,270.0,bottom
R22,201.8,-50.6,180.0,top
R35,196.75,-50.825,90.0,bottom
R45,183.2,-49.0,180.0,bottom
R46,163.2875,-42.8,0.0,bottom
R48,179.6875,-49.0,180.0,bottom
R8,199.5,-50.825,90.0,bottom
R9,192.175,-52.5,180.0,bottom
SW1,186.82,-59.275,0.0,top
U1,218.5,-52.3,270.0,top
U2,191.5,-47.1875,90.0,bottom
U3,197.75,-47.1875,90.0,top
U4,177.82,-53.25,0.0,top
U6,164.4575,-52.4075,90.0,top
